Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Puerto_Rico	Bunchosia_glandulosa	450	red	10	Mimus_polyglottos	Mimus_polyglottos	50	4.6	48.5	1
Puerto_Rico	Cordia_polycephala	433	red	5.14	Mimus_polyglottos	Mimus_polyglottos	50	4.6	48.5	1
Puerto_Rico	Tournefortia_hirsutissima	169.1666667	white	4.59	Mimus_polyglottos	Mimus_polyglottos	50	4.6	48.5	1
Brazil	Byrsonima_coccolobifolia	1267.761905	black	6.39125	Mimus_saturninus	Mimus_saturninus	0	5.3	63.7	6
Brazil	Erythroxylum_suberosum	74	red	4.9	Mimus_saturninus	Mimus_saturninus	0	5.3	63.7	2
Brazil	Miconia_albicans	4594.142857	green	5.409	Mimus_saturninus	Mimus_saturninus	0	5.3	63.7	2
Brazil	Myrcia_guianensis	534.1818182	black	8.225	Mimus_saturninus	Mimus_saturninus	0	5.3	63.7	2
Moyobamba	Tococa_guianensis	521.1111111	black	1	Mionectes_oleagineus	Mionectes_oleagineus	80	4.2	11.17	1
Oxapampa	Antidaphne_sp.	1213	brown	4.001	Mionectes_olivaceus	Mionectes_olivaceus	80	4.1	15.31	1
Oxapampa	Maytenus_sp.	126.3333333	white	4.549	Mionectes_olivaceus	Mionectes_olivaceus	80	4.1	15.31	1
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Mionectes_olivaceus	Mionectes_olivaceus	80	4.1	15.31	1
Oxapampa	Struthanthus_sp.	907.5	brown	6.0025	Mionectes_olivaceus	Mionectes_olivaceus	80	4.1	15.31	6
Oxapampa	Maytenus_sp.	126.3333333	white	4.549	Mionectes_striaticollis	Mionectes_striaticollis	50	4.2	15	3
Brazil	Miconia_albicans	4594.142857	green	5.409	Molothrus_bonariensis	Molothrus_bonariensis	0	10.5	43.2	1
Oxapampa	Miconia_glabra	5730.666667	brown	4.747	Myadestes_ralloides	Myadestes_ralloides	50	4.6	29.1	5
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Myadestes_ralloides	Myadestes_ralloides	50	4.6	29.1	3
Oxapampa	Palicourea_lachnantha	220	black	8.182	Myadestes_ralloides	Myadestes_ralloides	50	4.6	29.1	1
Oxapampa	Palicourea_obovata	49	black	6.943636364	Myadestes_ralloides	Myadestes_ralloides	50	4.6	29.1	2
Puerto_Rico	Trema_micrantha	831.25	red	2.47	Myiarchus_antillarum	Myiarchus_antillarum	10	6.4	23.4	1
Brazil	Erythroxylum_suberosum	74	red	4.9	Myiarchus_ferox	Myiarchus_ferox	50	5	9.9	2
Brazil	Miconia_albicans	4594.142857	green	5.409	Myiarchus_ferox	Myiarchus_ferox	50	5	9.9	4
Brazil	Myrcia_guianensis	534.1818182	black	8.225	Myiarchus_ferox	Myiarchus_ferox	50	5	9.9	1
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Myiarchus_ferox	Myiarchus_ferox	50	5	9.9	2
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Myiarchus_semirufus	Myiarchus_semirufus	20	7.3	22.5	1
Moyobamba	Cecropia_sp.	115	green	134.852	Myiodynastes_luteiventris	Myiodynastes_luteiventris	30	9.8	46.9	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Myiodynastes_luteiventris	Myiodynastes_luteiventris	30	9.8	46.9	12
Moyobamba	Cecropia_sp.	115	green	134.852	Myiodynastes_maculatus	Myiodynastes_maculatus	30	10.5	43.2	7
Brazil	Erythroxylum_suberosum	74	red	4.9	Myiodynastes_maculatus	Myiodynastes_maculatus	30	12.5	178	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Myiodynastes_maculatus	Myiodynastes_maculatus	30	10.5	43.2	17
Moyobamba	Tetrorchidium_sp.	1522.444444	red	1	Myiodynastes_maculatus	Myiodynastes_maculatus	30	10.5	43.2	9
Moyobamba	Cecropia_sp.	115	green	134.852	Myiopagis_gaimardii	Myiopagis_gaimardii	20	3.9	12.02	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Myiopagis_gaimardii	Myiopagis_gaimardii	20	3.9	12.02	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Myiophobus_fasciatus	Myiophobus_fasciatus	20	5	9.9	1
Brazil	Miconia_albicans	4594.142857	green	5.409	Myiophobus_fasciatus	Myiophobus_fasciatus	20	2.67	11.12	1
Moyobamba	Cecropia_sp.	115	green	134.852	Myiozetetes_granadensis	Myiozetetes_granadensis	20	5.7	29.3	1
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Myiozetetes_granadensis	Myiozetetes_granadensis	20	5.7	29.3	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Myiozetetes_granadensis	Myiozetetes_granadensis	20	5.7	29.3	33
Moyobamba	Cecropia_sp.	115	green	134.852	Myiozetetes_similis	Myiozetetes_similis	40	5.5	28	4
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Myiozetetes_similis	Myiozetetes_similis	40	5.5	28	3
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Myiozetetes_similis	Myiozetetes_similis	40	5.5	28	5
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Myiozetetes_similis	Myiozetetes_similis	40	5.5	28	10
Brazil	Miconia_albicans	4594.142857	green	5.409	Nemosia_pileata	Nemosia_pileata	0	9.7	37.4	4
Brazil	Schefflera_sp.tuberosa	2021.3	black	7.191	Nemosia_pileata	Nemosia_pileata	0	9.7	37.4	1
Moyobamba	Cecropia_sp.	115	green	134.852	Nystalus_striolatus	Nystalus_striolatus	0	8.5	47	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Ortalis_guttata	Ortalis_guttata	90	6.3	547.72	3
Moyobamba	Miconia_bicolor	642.4444444	black	4.85	Ortalis_guttata	Ortalis_guttata	90	6.3	547.72	3
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Ortalis_guttata	Ortalis_guttata	90	6.3	547.72	4
Moyobamba	Schefflera_morototoni	3916.111111	brown	6.6	Ortalis_guttata	Ortalis_guttata	90	6.3	547.72	1
Moyobamba	Cecropia_sp.	115	green	134.852	Pachyramphus_spodiurus	Pachyramphus_spodiurus	30	6.9	18.2	1
Brazil	Erythroxylum_suberosum	74	red	4.9	Patagioenas_picazuro	Patagioenas_picazuro	30	4.2	33.3	1
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Patagioenas_picazuro	Patagioenas_picazuro	30	4.2	33.3	1
Puerto_Rico	Bunchosia_glandulosa	450	red	10	Patagioenas_squamosa	Patagioenas_squamosa	40	4.4	312	2
Puerto_Rico	Cupania_americana	976	yellow	10.19	Patagioenas_squamosa	Patagioenas_squamosa	40	4.4	312	3
Puerto_Rico	Sideroxylon_salicifolium	176.25	black	4.8	Patagioenas_squamosa	Patagioenas_squamosa	40	4.4	312	2
Puerto_Rico	Trema_micrantha	831.25	red	2.47	Patagioenas_squamosa	Patagioenas_squamosa	40	4.4	312	1
Moyobamba	Cecropia_sp.	115	green	134.852	Patagioenas_subvinacea	Patagioenas_subvinacea	100	3.8	162.48	1
Oxapampa	Alchornea_sp.	12	red	5.781818182	Penelope_montagnii	Penelope_montagnii	100	9.1	706	1
Oxapampa	Bursera_sp.	39.33333333	red	10.27166667	Penelope_montagnii	Penelope_montagnii	100	9.1	706	3
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Penelope_montagnii	Penelope_montagnii	100	9.1	706	3
Oxapampa	Cornus_peruviana	1354.833333	black	7.054545455	Penelope_montagnii	Penelope_montagnii	100	9.1	706	1
Oxapampa	Hedyosmum_translucidum	498.3333333	black	13.00090909	Penelope_montagnii	Penelope_montagnii	100	9.1	706	1
Oxapampa	Miconia_glabra	5730.666667	brown	4.747	Penelope_montagnii	Penelope_montagnii	100	9.1	706	2
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Penelope_montagnii	Penelope_montagnii	100	9.1	706	6
Oxapampa	Hedyosmum_translucidum	498.3333333	black	13.00090909	Pharomachrus_auriceps	Pharomachrus_auriceps	100	11.5	180	3
Argentina	Aristotelia_chilensis	2149	black	5	Phrygilus_patagonicus	Phrygilus_patagonicus	0	5.5	23	2
Argentina	Azara_microphylla	2565.142857	brown	5.62	Phrygilus_patagonicus	Phrygilus_patagonicus	0	5.5	23	5
Argentina	Galium_hypocarpium	642.4285714	orange	4.93	Phrygilus_patagonicus	Phrygilus_patagonicus	0	5.5	23	2
Argentina	Maytenus_boaria	551.7142857	red	4.55	Phrygilus_patagonicus	Phrygilus_patagonicus	0	5.5	23	15
Argentina	Prunus_cerasus	629.8571429	red	17.93	Phrygilus_patagonicus	Phrygilus_patagonicus	0	5.5	23	2
Oxapampa	Antidaphne_sp.	1213	brown	4.001	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	4
Oxapampa	Cornus_peruviana	1354.833333	black	7.054545455	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	1
Oxapampa	Miconia_glabra	5730.666667	brown	4.747	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	1
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	2
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	1
Oxapampa	Struthanthus_sp.	907.5	brown	6.0025	Phyllomyias_sp.	Phyllomyias_griseocapilla	30	3.307142857	9.5	11
Moyobamba	Cecropia_sp.	115	green	134.852	Piaya_cayana	Piaya_cayana	0	8.8	101.98	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Piaya_cayana	Piaya_cayana	0	8.8	101.98	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Piaya_cayana	Piaya_cayana	0	8.8	101.98	6
